Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
54,2.0,0.0,0.0,551.0,14.0,25.0,2156.0,0.0,10.704999999999995,0.0,0.0,263.4473469257355,,,,,,,,,,,,,,,,,,,,,2.848326798506922,3.335323031570731,10.644436266303634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,636.0,15.0,85.0,2241.0,0.0,42.106000000000016,0.0,0.0,269.4574854373932,,,,,,,,,,,,,,,,,,,,,15.350545942416886,12.572732238927896,40.8420456405351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,755.0,16.0,119.0,2360.0,0.0,59.50499999999998,0.0,0.0,278.11822032928467,,,,,,,,,,,,,,,,,,,,,29.714234539430503,16.9594203821982,56.02503112092871,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,801.0,17.0,46.0,2406.0,0.0,21.60500000000002,0.0,0.0,281.6913194656372,,,,,,,,,,,,,,,,,,,,,6.571374014039194,6.467945643438936,21.324040836190388,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,837.0,18.0,36.0,2442.0,0.0,20.007000000000016,0.0,0.0,284.41301941871643,,,,,,,,,,,,,,,,,,,,,6.170277813765355,6.44938863089135,19.804674673377825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,854.0,19.0,17.0,2459.0,0.0,6.905,0.0,0.0,285.90186381340027,,,,,,,,,,,,,,,,,,,,,1.747200091520079,2.2279547634777797,6.8821797782223815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,956.0,20.0,102.0,2561.0,0.0,66.005,0.0,0.0,293.0433530807495,,,,,,,,,,,,,,,,,,,,,27.13172487018603,19.383220052846635,63.3008649281692,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,43.0,1.0,43.0,2604.0,0.0,23.710000000000022,0.0,0.0,367.153413772583,,,,,,,,,,,,,,,,,,,,,6.964162992090865,7.738032370651852,23.433974966306398,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,106.0,2.0,63.0,2667.0,0.0,36.407,0.0,0.0,371.7435209751129,,,,,,,,,,,,,,,,,,,,,14.13940040800393,11.6822308827828,35.55176954383959,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,172.0,3.0,66.0,2733.0,0.0,44.904999999999994,0.0,0.0,376.7346646785736,,,,,,,,,,,,,,,,,,,,,17.677118691458855,13.249916986131517,43.78209225862234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
